Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/4ac"]. (STD_EXCEPTION)
(query: SELECT MIN(EventDate), MAX(EventDate) FROM hits;)
7,3,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/4ac"]. (STD_EXCEPTION)
(query: SELECT MIN(EventDate), MAX(EventDate) FROM hits;)
8,1,0.010
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b3a"]. (STD_EXCEPTION)
(query: SELECT AdvEngineID, COUNT(*) FROM hits WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;)
8,2,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b3a"]. (STD_EXCEPTION)
(query: SELECT AdvEngineID, COUNT(*) FROM hits WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;)
8,3,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b3a"]. (STD_EXCEPTION)
(query: SELECT AdvEngineID, COUNT(*) FROM hits WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;)
1,1,0.002
1,2,0.001
1,3,0.001
2,1,0.458
2,2,0.016
2,3,0.015
3,1,0.603
3,2,0.039
3,3,0.037
4,1,0.670
4,2,0.053
4,3,0.052
5,1,1.716
5,2,1.686
5,3,1.740
6,1,1.941
6,2,1.442
6,3,1.535
7,1,0.432
7,2,0.031
7,3,0.027
8,1,0.029
8,2,0.019
8,3,0.020
9,1,1.063
9,2,0.592
9,3,0.590
10,1,0.694
10,2,0.656
10,3,0.652
11,1,0.523
11,2,0.219
11,3,0.214
12,1,0.604
12,2,0.264
12,3,0.231
13,1,1.106
13,2,1.073
13,3,1.066
14,1,1.380
14,2,1.371
14,3,1.341
15,1,1.404
15,2,1.226
15,3,1.214
16,1,0.706
16,2,0.656
16,3,0.676
17,1,2.995
17,2,2.831
